No,Narration,Debit Amount
1,LEONGRILL.BANGALOREKAIN20/01/22 18:11:45/6340,567
2,"FLIPKARTINTERNETPRIVAT12
04770770IN-27/01/22
21:44:08/0943",563
3,AMAZONIN2233554466IN31/01/22 00:07:30/0943,753
4,"TAMARINDHOSPITALITYBANG
ALOREKAIN-02/02/22
14:50:01/6340",3463
5,GROSS INT CR : 141001144301,7834
6,ECS INDIANENERGYEXCHAN,34
7,"DECATHLONSPORTSBANGAL
OREKAIN-03/03/22
18:30:45/6340",356
8,ECS NATIONALALUMINIUMC,23
9,ECS MAHANAGARGASLIMITE,19
10,"ECS
COMPUTERAGEMANAGEM",457
11,SWIGGYBANGALOREKAIN12/03/22 11:11:00/6340,357
12,FLIPKARTPAYMENTS560034IN17/03/22 17:06:07/0943,456
13,"UPI/DR/207913113129/DINDIGU
L
/PYTM/**FKINJ@PAYTM/FOOD/
/SBIB0EE2A6659274C4C80008
DC6352A0067/20/03/2022",543
14,SWIGGYBANGALOREKAIN26/03/22 21:14:51/6340,526
15,ECS NLCINDIALIMITEDIN,456
16,ALBEKBANGALOREKAIN08/04/22 21:58:08/6340,252
17,ECS STEELAUTHORITYOFI,99
18,CBSL DEMAT BILL 20642710,33
19,CBSL DEMAT BILL 60188435,33
20,"SBINT FOR THE PERIOD
FROM01-FEB-22 TO 30-APR-22",4563
21,"UPI/CR/212385128555/ZOMATO
LTD/PYTM/**ORDER@PAYTM/
EXPRESS//PTMA304AC22D91B
4FE5AAECBC3765DBF6EA/03/0
5/2022 21:59:31",687
22,UPI/DR/212319842712/ZOMATO LTD/PYTM/**ORDER@PAYTM/Z OMATO P//PYTM2022050331686909309 8/03/05/2022 19:01:48,567
23,UPI/DR/212512419235/ZEE5/PY TM/**ZEE5@PAYTM/OIDZEE57/ /PTM2022050531755806191920 2205051113/05/05/2022 11:13:57,199
24,"DECATHLONSPORTSBANGAL
OREKAIN-14/05/22
15:31:09/6340",587
25,"UPI/DR/213713501810/LASSI
COR/YESB/**39084@YBL/JUIC
E//SBI59E674CF7A51448A8A90
17D623CA9AE8/17/05/2022
13:20:04",345
26,"UPI/DR/213837071375/UPSTOX
/ICIC/**SEC20@ICICI/UPSTOX
//ICI390B62469731484B9990A2
EF50CF005C/18/05/2022
10:02:00",5000
27,ECS LAURUSLABSLIMITED,89
28,"UPI/DR/213911154120/INDMON
EY/UTIB/**D.RZP@AXISBANK/I
NDMONEY//SBIF664EEFF397B
4FBDA7355A6E3C4DC9DD/19/0
5/2022 11:56:59",5000
29,"UPI/DR/214219250720/WOW
MOMO
/PYTM/**PV9Z4@PAYTM/MOM
O//SBI3D94EDBA79584E42BB6
726740B88C2D9/22/05/2022
19:01:03",345
30,"UPI/DR/214320759472/RAMDEV
ME/PYTM/**I5OM7@PAYTM/TA
BLETS//SBI5F4A621369054C88
BE8B8D9E6372EE29/23/05/202
2 20:00:05",674
31,"INET-IMPS-CR/RKSV
SECUR/RBLBANKLIM/40900131
3209/UPSTOX
FUN/9999999999/25/05/2022
11:52:29",10000
32,ECS COLGATEPALMOLIVEI,89
33,"UPI/DR/214719879888/FINZOO
MER/ICIC/**S.RZP@ICICI/INDM
ONEY//SBI5302208709044D6AB
2F083272DA8FE2B/27/05/2022
19:50:15",10000
34,"TELERADRXDXHEALTHCARBA
NGALOREKAIN-28/05/22
07:34:15/6340",11000
